trajectory_id,pickup_venueCategory,pickup_name,pickup_category,dropoff_venueCategory,dropoff_name,dropoff_category,passenger_count,pickup_hour,dropoff_hour,pickup_week
57,Miscellaneous Shop,Hands (ハンズ),Grocery Store,Record Shop,TOWER RECORDS,Record Store,4,9,11,Wednesday
58,Subway,Shinjuku-gyoemmae Station (M10) (新宿御苑前駅),Metro Station,Building,Marunouchi Park Building (丸の内パークビルディング),Business Center,1,9,9,Wednesday
59,Medical Center,両国東口クリニック,Hospital,Bridge,新大橋西,Bridge,3,1,3,Tuesday
60,Stadium,Nippon Budokan (日本武道館),Stadium,Shrine,靖国神社大鳥居,Shrine,1,5,6,Saturday
61,Subway,Center Kita Station (センター北駅),Rail Station,Convenience Store,7-Eleven (セブンイレブン 横浜牛久保東1丁目店),Convenience Store,3,6,8,Saturday
62,Convenience Store,デイリーヤマザキ,Convenience Store,Convenience Store,7-Eleven (セブンイレブン 横浜牛久保東1丁目店),Convenience Store,3,8,9,Saturday
63,Electronics Store,Sofmap Akiba 1st Store (ソフマップAKIBA 1号店 サブカル・モバイル館),Retail,Mobile Phone Shop,テルルモバイル NEO秋葉原店,Mobile Phone Store,1,5,5,Sunday
64,Bookstore,Shosen Book Tower (書泉ブックタワー),Bookstore,Japanese Restaurant,Matsuya (松屋),Restaurant,1,3,4,Sunday
65,Food & Drink Shop,Marusho (丸正食品店舗代々木上原駅前店),Grocery Store,Drugstore / Pharmacy,Cocokara Fine (ココカラファイン 代々木上原南店),Drugstore,3,7,7,Friday
66,Bakery,boulangerie pour vous,Bakery,Food & Drink Shop,Marusho (丸正食品店舗代々木上原駅前店),Grocery Store,2,5,7,Monday
67,Subway,Hibiya Station (日比谷駅),Metro Station,Train Station,Tsunashima Station (TY14) (綱島駅),Rail Station,4,13,14,Friday
68,Food & Drink Shop,Inageya (いなげや 横浜綱島店),Supermarket,Food & Drink Shop,Ito Yokado (イトーヨーカドー 綱島店),Grocery Store,1,7,8,Sunday
69,Coffee Shop,BECK'S COFFEE SHOP 新宿店,Café,Smoke Shop,Smoking Area - Shinjuku Sta. West Exit (新宿駅西口喫煙所),Plaza,4,0,0,Sunday
70,Coffee Shop,BECK'S COFFEE SHOP 新宿店,Café,Department Store,HALC (新宿西口ハルク),Bar,2,0,0,Sunday
71,Mall,Tokyo Midtown (東京ミッドタウン),Retail,Subway,Meiji-jingumae 'Harajuku' Station (明治神宮前 駅),Metro Station,2,3,5,Saturday
72,Office,Midtown Tower (ミッドタウン・タワー),Business Center,Subway,,,2,4,5,Saturday
73,Chinese Restaurant,陳麻家,Chinese Restaurant,Bookstore,Shosen Book Tower (書泉ブックタワー),Bookstore,1,11,11,Tuesday
74,Train Station,Hamamatsucho Station (浜松町駅),Rail Station,Airport,Terminal 2 (第2ターミナル),Airport Terminal,2,8,8,Tuesday
75,Park,Nan-oh Park (南桜公園),Park,Electronics Store,Apple Ginza (Apple 銀座),Landmarks and Outdoors,1,3,4,Sunday
76,Indian Restaurant,麹町咖喱渋谷桜丘町店,Indian Restaurant,Plaza,Herbert von Karajan Plaza (アーク・カラヤン広場),Plaza,2,5,5,Saturday
77,Subway,Roppongi Station (六本木駅),Metro Station,Ramen /  Noodle House,六本木 BeeHive,Concert Hall,4,7,9,Thursday
78,Café,Euro Cafe (ユーロカフェ),Café,Café,EXCELSIOR CAFFÉ 六本木店,Coffee Shop,4,8,9,Thursday
79,Burger Joint,MOS Burger (モスバーガー),Burger Joint,Convenience Store,7-Eleven (セブンイレブン 川崎今井仲町店),Convenience Store,3,8,9,Friday
80,Train Station,Shimomaruko Station (下丸子駅),Rail Station,Train Station,Kawasaki Station (川崎駅),Rail Station,4,8,8,Monday
81,Park,Kinuta Park (砧公園),Park,College Academic Building,世田谷区立京西小学校,Elementary School,3,5,7,Tuesday
82,Subway,,,Home (private),,,4,20,21,Friday
83,Hobby Shop,Akihabara Gamers (AKIHABARAゲーマーズ),Hobby Store,Electronics Store,QC PASS,Electronics Store,1,10,11,Thursday
84,Dumpling Restaurant,Gyoza Ohsho (餃子の王将),Chinese Restaurant,Stadium,Nippon Budokan (日本武道館),Stadium,4,2,4,Saturday
85,Train Station,Tama-plaza Station (DT15) (たまプラーザ駅),Rail Station,Train Station,Tama-plaza Station (DT15) (たまプラーザ駅),Rail Station,3,5,6,Wednesday
86,Mall,Roppongi Hills (六本木ヒルズ),Shopping Mall,Asian Restaurant,cafe SINGAPURA,Asian Restaurant,3,4,4,Saturday
87,Bar,Ohashi (大はし),Sake Bar,Department Store,Marui (北千住マルイ),Department Store,2,10,11,Monday
88,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Train Station,Tabata Station (田端駅),Rail Station,1,8,9,Thursday
89,Food & Drink Shop,7-Eleven (セブンイレブン 板橋南常盤台1丁目店),Convenience Store,Neighborhood,Ikebukuro Suitengu (池袋水天宮),Shrine,4,4,6,Saturday
90,Neighborhood,Ikebukuro Suitengu (池袋水天宮),Shrine,Bar,vivo! BEER+DINING BAR,Beer Bar,2,6,6,Saturday
91,Mall,Tressa Yokohama (トレッサ横浜),Shopping Mall,Mall,Tressa Yokohama (トレッサ横浜),Shopping Mall,4,5,6,Sunday
92,Mall,Lazona Kawasaki Plaza (ラゾーナ川崎プラザ),Shopping Mall,Electronics Store,Bic Camera (ビックカメラ),Home Appliance Store,4,5,6,Saturday
93,Bookstore,Books Sanseido (三省堂書店),Bookstore,Record Shop,disk union,Retail,2,8,10,Saturday
94,Clothing Store,Barney's New York,Retail,Bookstore,Books Kinokuniya (紀伊國屋書店),Bookstore,2,7,7,Saturday
95,Park,Inokashira Park (井の頭恩賜公園),Park,University,University of Electro-Communications (電気通信大学),College and University,2,5,6,Sunday
96,Ramen /  Noodle House,Hidakaya (日高屋),Chinese Restaurant,Subway,Ginza Station (銀座駅),Rail Station,2,9,9,Sunday
97,Bike Shop,Y's Road (ワイズロード上野アサゾー),Retail,Subway,Mitsukoshimae Station (三越前駅),Rail Station,2,5,6,Monday
98,Ramen /  Noodle House,Ito (中華そば屋 伊藤),Ramen Restaurant,Subway,Oji-kamiya Station (N17) (王子神谷駅),Rail Station,4,2,2,Thursday
99,Bus Station,Nishi-Sugamo Bus Stop (西巣鴨バス停),Bus Stop,Government Building,北区区民センター 滝野川西,Concert Hall,2,8,10,Saturday
100,Electronics Store,Bic Camera (ビックカメラ 有楽町店),Home Appliance Store,Bus Station,Nishi-Sugamo Bus Stop (西巣鴨バス停),Bus Stop,1,7,8,Saturday
101,Bookstore,Shosen Book Tower (書泉ブックタワー),Bookstore,Burger Joint,Burger King (バーガーキング),Burger Joint,3,10,11,Wednesday
102,Subway,Ginza Line Shimbashi Station (G08) (銀座線 新橋駅),Metro Station,Department Store,Tokyu Department Store (東急百貨店 東横店),Department Store,2,7,7,Saturday
103,Café,tap house (タップハウス),Café,University,國學院大學若木タワー,College Academic Building,2,4,5,Friday
104,General College & University,5号館,College Academic Building,College Academic Building,,,4,6,7,Thursday
105,Government Building,Shinjuku Passport Center (東京都旅券課 (新宿パスポートセンター)),Government Building,Bar,cinnabar 辰砂,Cantonese Restaurant,2,6,7,Tuesday
106,Plaza,Yebisu Garden Place Hiroba (恵比寿ガーデンプレイスひろば),Plaza,Train Station,JR Ebisu Station (JR 恵比寿駅),Rail Station,2,7,9,Tuesday
107,Art Gallery,oriental collection,Art Gallery,Subway,Shirokane-takanawa Station (白金高輪駅),Metro Station,2,9,10,Tuesday
108,Restaurant,Tamago to Watashi (卵と私),Yoshoku Restaurant,Factory,若洲風力発電所,Power Plant,4,2,4,Saturday
109,Japanese Restaurant,Dashi-chazuke En (だし茶漬け えん),Japanese Restaurant,Japanese Restaurant,Dashi-chazuke En (だし茶漬け えん),Japanese Restaurant,2,11,12,Friday
110,Bar,Shimonya (四文屋),BBQ Joint,Train Station,Shin-Koiwa Station (新小岩駅),Rail Station,3,10,11,Wednesday
111,Arcade,HI-TECH LAND SEGA Shibuya (ハイテクランドセガ渋谷),Arcade,Train Station,Shin-Koiwa Station (新小岩駅),Rail Station,4,8,10,Sunday
112,Plaza,汐留シオサイト 地下歩道,Plaza,Restaurant,Sutadonya (伝説のすた丼屋),Donburi Restaurant,3,11,12,Thursday
113,Train Station,Keikyū Kawasaki Station (KK20) (京急川崎駅),Rail Station,Park,多摩川見晴らし公園,Park,4,3,4,Sunday
114,Convenience Store,FamilyMart (ファミリーマート),Convenience Store,Post Office,郵便局,Post Office,2,8,9,Monday
115,Train Station,Kawasaki Station (川崎駅),Rail Station,Arcade,Silk Hat (シルクハット),Arcade,3,11,11,Tuesday
116,Restaurant,おばけ食堂,Restaurant,Bar,the 7th chord'LINE”,Sports Bar,4,10,12,Thursday
117,Arcade,Taito Station (タイトーステーション 新宿南口ゲームワールド店),Arcade,Ramen /  Noodle House,油そば総本店,Ramen Restaurant,1,11,11,Monday
118,Music Store,岩盤 GAN-BAN,Music Store,Music Venue,Shibuya CLUB QUATTRO (渋谷CLUB QUATTRO),Rock Club,2,7,7,Saturday
119,Chinese Restaurant,Little Sheep (小肥羊),Chinese Restaurant,Mexican Restaurant,メキシカンダイニング AGUA,Bar,4,10,11,Monday
120,Subway,Kudanshita Station (九段下駅),Rail Station,Park,Chidorigafuchi Park (千鳥ケ淵公園),Park,1,4,4,Tuesday
121,Arts & Crafts Store,starnet tokyo,Arts and Crafts Store,Subway,Higashi-ginza Station (東銀座駅),Metro Station,4,3,4,Wednesday
122,Subway,Kyobashi Station (G10) (京橋駅),Rail Station,Bridge,Shinonome Bridge (東雲橋),Landmarks and Outdoors,1,9,10,Tuesday
123,Plaza,有楽町マリオン時計前,Plaza,Subway,Yurakucho Line Yurakucho Station (Y18) (有楽町線 有楽町駅),Metro Station,2,7,8,Sunday
124,Bar,CLUB SEATA,Rock Club,BBQ Joint,Gyutetsu (牛鉄),BBQ Joint,3,5,6,Sunday
125,Building,Shinjuku Mitsui Building (新宿三井ビルディング),Business Center,Video Store,新宿TSUTAYA,Video Store,1,6,7,Saturday
126,Road,Sunshine 60 Street (サンシャイン60通り),Road,Ramen /  Noodle House,Tori no Ana (鶏の穴),Ramen Restaurant,4,8,9,Tuesday
127,Bar,大衆スタンド てんぐ大ホール 池袋サンシャイン通り店,Sake Bar,Bar,大衆スタンド てんぐ大ホール 池袋サンシャイン通り店,Sake Bar,2,3,3,Thursday
128,Train Station,Higashi-Koganei Station (東小金井駅),Rail Station,Train Station,Higashi-Koganei Station (東小金井駅),Rail Station,1,2,2,Friday
129,Train Station,Higashi-Koganei Station (東小金井駅),Rail Station,Train Station,Higashi-Koganei Station (東小金井駅),Rail Station,4,11,12,Friday
130,Subway,Hibiya Station (日比谷駅),Metro Station,Concert Hall,Hibiya Open-Air Concert Hall (日比谷野外大音楽堂),Concert Hall,4,5,6,Sunday
131,Train Station,Tsunashima Station (TY14) (綱島駅),Rail Station,Food & Drink Shop,Ito Yokado (イトーヨーカドー 綱島店),Grocery Store,4,9,10,Sunday
132,Mall,Tokyo Midtown (東京ミッドタウン),Retail,Bar,Afilia Sherry's (アフィリア・シェリーズ),Cocktail Bar,1,10,12,Tuesday
133,Event Space,,,Music Venue,LIQUIDROOM,Night Club,1,2,2,Sunday
134,Neighborhood,,,Korean Restaurant,農田地,BBQ Joint,1,9,10,Friday
135,Winery,イタリアン酒場 ぶどう,Wine Bar,Record Shop,TOWER RECORDS,Record Store,3,9,11,Friday
136,Soup Place,Soup Curry Kamui (スープカレー カムイ),Japanese Curry Restaurant,Event Space,belle salle (ベルサール秋葉原),Event Space,1,6,6,Saturday
137,Event Space,belle salle (ベルサール秋葉原),Event Space,Office,高松建設,Business and Professional Services,1,6,6,Wednesday
138,Café,サンダーバードカフェ,Café,Subway,Hanzomon Line Jimbocho Station (Z07) (半蔵門線 神保町駅),Metro Station,1,13,14,Thursday
139,Subway,東京メトロ 大手町駅,Metro Station,Building,日本ビルヂング,Shopping Mall,3,3,4,Thursday
140,Event Space,West Hall 1 (西1ホール),Convention Center,Subway,Toyosu Station (豊洲駅),Metro Station,1,6,7,Saturday
141,Light Rail,Yurikamome Toyosu Station (U16) (ゆりかもめ 豊洲駅),Rail Station,Park,Ikebukuro Nishiguchi Park (池袋西口公園),Park,4,7,7,Saturday
142,Art Museum,National Museum of Western Art (国立西洋美術館),Museum,Train Station,Ueno Station (上野駅),Rail Station,1,8,8,Sunday
143,Diner,フードラウンジ ほっと,Dining and Drinking,Diner,フードラウンジ ほっと,Dining and Drinking,4,4,4,Saturday
144,Mall,DiverCity Tokyo Plaza (ダイバーシティ東京 プラザ),Shopping Mall,Mall,DiverCity Tokyo Plaza (ダイバーシティ東京 プラザ),Shopping Mall,4,2,2,Saturday
145,Train Station,Kameari Station (亀有駅),Rail Station,Mall,Ario (アリオ亀有),Shopping Mall,4,4,5,Saturday
146,Convenience Store,ナチュラルローソン目黒祐天寺前店,Convenience Store,Building,ARK Hills (アークヒルズ),Business Center,3,4,5,Saturday
147,Bookstore,Tsutaya Books (代官山 蔦屋書店),Bookstore,Subway,,,3,7,7,Saturday
148,Electronics Store,Sofmap Akiba 1st Store (ソフマップAKIBA 1号店 サブカル・モバイル館),Retail,Neighborhood,,,3,6,7,Saturday
149,Convention Center,Tokyo Big Sight (東京ビッグサイト (東京国際展示場)),Italian Restaurant,Music Venue,SHIBUYA-AX,Community and Government,1,3,5,Sunday
150,Train Station,Ikebukuro Station (池袋駅),Rail Station,Event Space,ベトナムフェスティバル2012,Event Space,4,5,6,Saturday
151,Seafood Restaurant,Isomaru Suisan (磯丸水産),Bar,Arcade,アドアーズ池袋西口店,Arcade,3,6,8,Sunday
152,Mall,Palette Town (パレットタウン),Amusement Park,Medical Center,IMS Me-Life クリニック 池袋,Medical Center,3,14,15,Sunday
153,Arcade,Tokyo Leisure Land (東京レジャーランド 秋葉原2号店),Arcade,Bar,カラオケ館神田南口店,Karaoke Box,1,13,14,Saturday
154,Arcade,Adores Shibuya (アドアーズ 渋谷店),Arcade,BBQ Joint,Gyu-Kaku (牛角),BBQ Joint,3,9,10,Sunday
155,Electronics Store,Yamada Denki LABI 1 (ヤマダデンキ LABI1 LIFE SELECT 池袋),Home Appliance Store,Hobby Shop,Comic Toranoana B (コミックとらのあな 池袋店),Comic Book Store,1,5,5,Friday
156,Electronics Store,TSUKUMO eX.,Electronics Store,Subway,Mitsukoshimae Station (三越前駅),Rail Station,2,11,12,Thursday
157,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Subway,Suehirocho Station (G14) (末広町駅),Metro Station,3,10,12,Thursday
158,Electronics Store,Yodobashi-Kichijoji (ヨドバシカメラ マルチメディア吉祥寺),Home Appliance Store,Train Station,Kichijōji Station (吉祥寺駅),Rail Station,2,4,5,Monday
159,Train Station,Keio Kichijōji Station (IN17) (京王 吉祥寺駅),Rail Station,Train Station,Kichijōji Station (吉祥寺駅),Rail Station,1,4,5,Monday
160,Train Station,Chiyoda Line Meiji-jingumae 'Harajuku' Station (C03) (千代田線 明治神宮前<原宿>駅),Metro Station,Mall,Laforet Harajuku (ラフォーレ原宿),Shopping Mall,4,7,9,Saturday
161,Ramen /  Noodle House,Komoro Soba (小諸そば),Soba Restaurant,Hardware Store,Akizuki Denshi Tsusho (秋月電子通商),Business and Professional Services,3,6,7,Sunday
162,Furniture / Home Store,Nitori (ニトリ),Furniture and Home Store,Electronics Store,Yamada Denki LABI 1 (ヤマダデンキ LABI1 LIFE SELECT 池袋),Home Appliance Store,1,7,9,Saturday
163,Subway,Fukutoshin Line Ikebukuro Station (F09) (副都心線 池袋駅),Arts and Entertainment,Department Store,LUMINE (ルミネ池袋),Shopping Mall,4,7,7,Sunday
164,Arcade,Tokyo Leisure Land (東京レジャーランド 秋葉原2号店),Arcade,Subway,Ichinoe Station (S18) (一之江駅),Rail Station,4,13,13,Friday
165,Department Store,Mitsukoshi (日本橋三越本店),Department Store,Medical Center,University of Tokyo Hospital (東京大学医学部附属病院),Hospital,2,8,9,Tuesday
166,Convenience Store,FamilyMart (ファミリーマート 四谷区民センター前店),Convenience Store,Subway,Shinjuku-gyoemmae Station (M10) (新宿御苑前駅),Metro Station,1,10,11,Wednesday
167,Convenience Store,FamilyMart (ファミリーマート 四谷区民センター前店),Convenience Store,Subway,Tozai Line Nihombashi Station (T10) (東西線 日本橋駅),Metro Station,4,10,11,Wednesday
168,Subway,,,Café,EXCELSIOR CAFFÉ 六本木店,Coffee Shop,3,9,9,Wednesday
169,Subway,Oedo Line Shinjuku Station (E27) (都営大江戸線 新宿駅),Metro Station,Café,喫茶コーナー NEW あみ,Café,3,5,7,Friday
170,Medical Center,あいの薬局,Drugstore,Restaurant,Royal Host (ロイヤルホスト),Japanese Family Restaurant,2,2,2,Saturday
171,Smoke Shop,秋葉原喫煙所,Tobacco Store,Convenience Store,7-Eleven (セブンイレブン),Convenience Store,4,6,7,Sunday
172,College Academic Building,ヤマハ音楽教室四谷センター,Music School,Movie Theater,Toho Cinemas (TOHOシネマズ日劇),Movie Theater,1,4,5,Saturday
173,Movie Theater,オークラ劇場,Indie Movie Theater,Hotel,Boston Club (ボストンクラブ),Hotel,3,12,13,Thursday
174,Movie Theater,Shinjuku Musashinokan (新宿武蔵野館),Movie Theater,Bar,BAMBOO BEER PUB,Beer Bar,4,12,13,Friday
175,Train Station,,,Bar,Watering Hole,Beer Bar,4,12,12,Saturday
176,Ramen /  Noodle House,Kitakata Ramen Ban Nai (喜多方ラーメン 坂内),Ramen Restaurant,Arcade,Taito Station (タイトーステーション 新宿南口ゲームワールド店),Arcade,2,12,12,Sunday
177,Spa / Massage,富士見湯,Bathing Area,Convenience Store,Lawson (ローソン 文京白山五丁目店),Convenience Store,3,14,15,Tuesday
178,Train Station,Nambu Line Musashi-Kosugi Station (南武線 武蔵小杉駅),Rail Station,Train Station,Musashi-Kosugi Station (武蔵小杉駅),Hair Salon,3,7,8,Saturday
179,Mall,Lazona Kawasaki Plaza (ラゾーナ川崎プラザ),Shopping Mall,Train Station,Kawasaki Station (川崎駅),Rail Station,1,10,12,Friday
180,Bar,AURUM,Lounge,Japanese Restaurant,そば所 よし田,Soba Restaurant,3,3,3,Monday
181,Ramen /  Noodle House,とんこつラーメン 荻,Ramen Restaurant,Bar,Uozen (炉端焼 魚然 銀座店),Sake Bar,1,3,4,Wednesday
182,Scenic Lookout,Tokyo City View (東京シティビュー),Scenic Lookout,Building,Roppongi Hills Mori Tower (六本木ヒルズ森タワー),Business Center,3,7,8,Monday
183,Food & Drink Shop,Tokyu Store (東急ストア),Grocery Store,Train Station,Kaminoge Station (OM14) (上野毛駅),Rail Station,2,11,11,Friday
184,Bar,Astronomical Observation Diner Afilia Stars (天体観測Diner アフィリア・スターズ),Bar,Bar,Astronomical Observation Diner Afilia Stars (天体観測Diner アフィリア・スターズ),Bar,3,12,13,Wednesday
185,Subway,Roppongi Station (六本木駅),Metro Station,Bar,Astronomical Observation Diner Afilia Stars (天体観測Diner アフィリア・スターズ),Bar,1,11,12,Wednesday
